ind_id	new_id	tax_id	lat	long	alt	t_cap	com_nm	alpha	genus	spp	sub_spp	spp_lat	alpha6	ind_id2	sex	pos_sex	age_clas	age_yr	mass	fat	inc	latency	cort	count_ss	year	doy	season	brd_stg	pos_lh_stg	lh_stg
1001881	1552	AMGO1552	47.742	-122.984	34.13767	608	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-2	m				15.7	0		1	6.4	4	1996	187				possibly breeding
1001882	1553	AMGO1553	47.742	-122.984	34.13767	790	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-7	f				15.7	0		1	9.2	4	1996	187		breeding		breeding
1001883	1554	AMGO1554	47.742	-122.984	34.13767	782	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-6	f				16	0		1	12.8	4	1996	187		breeding		breeding
1001884	1555	AMGO1555	47.742	-122.984	34.13767	927	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	10	f				16.7	0.5		1	21.5	4	1996	187		breeding		breeding
1001885	1556	AMGO1556	47.742	-122.984	34.13767	797	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	8	f				17.5	0.5		1	8.6	4	1996	187		breeding		breeding
1001903	1557	AMGO1557	47.742	-122.984	34.13767	589	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-2	m				12.8	0.5		2	32	4	1996	171		pre-breeding		pre-breeding
1001904	1558	AMGO1558	47.742	-122.984	34.13767	589	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-1	m				13.1	1		2	42.53	4	1996	171		pre-breeding		pre-breeding
1001918	1559	AMGO1559	47.742	-122.984	34.13767	865	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-7	m				11.2	1		2	13.7	4	1996	173		pre-breeding		pre-breeding
1001919	1560	AMGO1560	47.742	-122.984	34.13767	865	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-6	m				12.6	0.5		1	13.6	4	1996	173		pre-breeding		pre-breeding
1001920	1561	AMGO1561	47.742	-122.984	34.13767	727	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-5	m				12.8	1.5		2	8.6	4	1996	173		pre-breeding		pre-breeding
1001921	1562	AMGO1562	47.742	-122.984	34.13767	576	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-3	m				13.1	0		2	12.3	4	1996	173		pre-breeding		pre-breeding
1001922	1563	AMGO1563	47.742	-122.984	34.13767	586	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-4	m				13.4	1.5		1.5	7.4	4	1996	173		pre-breeding		pre-breeding
1002218	1564	AMGO1564	47.742	-122.984	34.13767	617	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-01	m				12	0.5		1	4.9	4	1997	127		pre-breeding		pre-breeding
1002219	1565	AMGO1565	47.742	-122.984	34.13767	654	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-02	m				12.5	0		2	6.1	4	1997	127		pre-breeding		pre-breeding
1002220	1566	AMGO1566	47.742	-122.984	34.13767	666	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-04	f				12.6	1		1.5	9	4	1997	127		pre-breeding		pre-breeding
1002221	1567	AMGO1567	47.742	-122.984	34.13767	708	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-06	m				12.6	1.5		1	6.9	4	1997	127		pre-breeding		pre-breeding
1002222	1568	AMGO1568	47.742	-122.984	34.13767	666	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-03	m				13	3		1	3.9	4	1997	127		pre-breeding		pre-breeding
1002223	1569	AMGO1569	47.742	-122.984	34.13767	666	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-05	m				14.5	0		1	6.8	4	1997	127		pre-breeding		pre-breeding
