dupcheck,hb_pop_id,hb_pop_dist
Passerculus sandwichensis_48.57486_-122.96153,703,0.059232343
Passerculus sandwichensis_46.85445_-124.11084,32,0.008233602
Passerculus sandwichensis_48.33333_-122.45,664,0.174008301
Geospiza difficilis_0.32196_-89.95523,689,0
Geospiza fuliginosa_-0.67827_-90.47451,587,0.186128217
Geospiza fuliginosa_-0.17889_-90.64778,678,0.04374001
Calcarius pictus_68.40288_-149.32277,673,0.351520429
Calcarius pictus_68.45038_-149.37175,673,0.283582499
Calcarius pictus_68.76478_-148.85213,696,0
Calcarius pictus_69.01848_-148.82888,696,0.25476313
Calcarius pictus_68.62582_-149.59455,673,0
Plectrophenax nivalis_71.323_-156.609,692,0
Plectrophenax nivalis_76.53333_-67.16667,684,0
Cyphorhinus phaeocephalus_9.11661_-79.70074,683,0
Cyphorhinus phaeocephalus_9.15289_-79.73932,263,0.051262213
Cyphorhinus phaeocephalus_9.08143_-79.66948,112,0.012044721
Melospiza melodia_47_-120.5,36,0.947684019
Melospiza melodia_46.695_-120.49083,30,0.865207668
Melospiza melodia_47.70972_-122.37056,670,0
Melospiza melodia_38.333_-123.046,702,0.019061841
Montifringilla taczanowskii_35.1074_98.88107,706,0
Montifringilla taczanowskii_35.36482_99.72845,707,0
Montifringilla taczanowskii_29_87.7,705,0
Montifringilla taczanowskii_34.91667_98.91667,706,0.194023949
Oceanodroma tethys_0.32196_-89.95523,689,0
Zenaida asiatica_33.52837_-112.0763,675,0
Pycnonotus goiavier_30.8667_34.7833,669,0
